,Glucose
0,True
1,False
2,True
3,False
4,True
5,True
6,False
7,True
8,True
9,True
10,True
11,True
12,True
13,True
14,True
15,True
16,True
17,True
18,True
19,True
20,True
21,False
22,True
23,True
24,True
25,True
26,True
27,False
28,True
29,True
30,True
31,True
32,False
33,False
34,True
35,True
36,True
37,True
38,False
39,True
40,True
41,True
42,True
43,True
44,True
45,True
46,True
47,False
48,True
50,True
51,True
52,False
53,True
54,True
55,False
56,True
58,True
59,True
61,True
62,False
63,True
64,True
65,False
66,True
67,True
68,False
69,True
70,True
71,True
72,True
73,True
74,False
75,True
76,False
77,False
78,True
79,True
80,True
82,False
83,True
84,True
85,True
86,True
87,True
88,True
89,True
90,False
91,True
92,False
93,True
94,True
95,True
96,False
97,False
98,False
99,True
100,True
101,True
102,True
103,False
104,False
105,True
106,False
107,True
108,False
109,False
110,True
111,True
112,False
113,False
114,True
115,True
116,True
117,False
118,False
119,False
120,True
121,True
122,True
123,True
124,True
125,False
126,True
127,True
128,True
129,True
130,True
131,True
132,True
133,False
134,False
135,True
136,True
137,False
138,True
139,True
140,True
141,True
142,True
143,True
144,True
145,True
146,False
147,True
148,True
149,False
150,True
151,True
152,True
153,True
154,True
155,True
156,False
157,True
158,False
159,True
160,True
161,True
162,True
163,True
164,True
165,True
166,True
167,True
168,True
169,True
170,True
171,True
172,False
173,False
174,False
175,True
176,False
177,True
178,True
179,True
180,False
181,True
182,True
183,False
184,True
185,True
186,True
187,True
188,True
189,True
190,True
191,True
192,True
193,True
194,False
195,True
196,True
197,True
198,True
199,True
200,True
201,True
202,True
203,False
204,True
205,True
206,True
207,True
208,False
209,True
210,False
211,True
212,True
213,True
214,True
215,True
216,True
217,True
218,False
219,True
220,True
221,True
222,True
223,True
224,True
225,False
226,True
227,True
228,True
229,True
230,True
231,True
232,False
233,True
234,False
235,True
236,True
237,True
238,True
239,True
240,False
241,False
242,True
243,True
244,True
245,True
246,True
247,True
248,True
249,True
250,True
251,True
252,False
253,False
254,False
255,True
256,True
257,True
258,True
259,True
260,True
261,True
262,False
263,True
264,True
265,False
266,True
267,True
268,True
269,True
270,True
271,True
272,True
273,False
274,True
275,True
276,True
277,True
278,True
279,True
280,True
281,True
282,True
283,True
284,True
285,True
286,True
287,True
288,False
289,True
290,False
291,True
292,True
293,True
294,True
295,True
296,True
297,True
298,True
299,True
300,True
301,True
302,False
303,True
304,True
305,True
306,True
307,True
308,True
309,True
310,False
311,True
312,True
313,True
314,True
315,True
316,False
317,True
318,True
319,True
320,True
321,True
322,True
323,True
324,True
325,True
326,True
327,True
328,True
329,True
330,True
331,False
332,True
333,True
334,False
335,True
336,True
337,True
338,True
339,True
340,True
341,False
342,True
343,True
344,False
345,True
346,True
347,True
348,False
349,True
350,False
351,True
352,False
353,False
354,False
355,True
356,True
357,True
358,False
359,True
360,True
361,True
362,True
363,True
364,True
365,False
366,True
367,True
368,False
369,True
370,True
371,True
372,False
373,True
374,True
375,True
376,False
377,False
378,True
379,False
380,True
381,True
382,True
383,False
384,True
